trial,n_estimators,max_depth,max_depth_order,min_samples_split,min_samples_leaf,max_features,class_weight,params,cv_accuracy_mean,cv_accuracy_std,cv_f1_mean,cv_roc_auc_mean,running_best_accuracy,running_best_f1,running_best_roc_auc,rank
71,300,8,8,10,5,log2,None,"{'class_weight': None, 'max_depth': 8, 'max_features': 'log2', 'min_samples_leaf': 5, 'min_samples_split': 10, 'n_estimators': 300}",0.8117994681374963,0.022764185117501626,0.7305226172226683,0.8804243849149807,0.8216389244558258,0.7450375774419548,0.8808777693338822,152
52,100,8,8,10,1,sqrt,None,"{'class_weight': None, 'max_depth': 8, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'min_samples_split': 10, 'n_estimators': 100}",0.8104107160445189,0.029037991371686007,0.733638439616764,0.8761298328108673,0.8216389244558258,0.7450375774419548,0.8790777946655689,153
64,100,8,8,10,1,log2,None,"{'class_weight': None, 'max_depth': 8, 'max_features': 'log2', 'min_samples_leaf': 1, 'min_samples_split': 10, 'n_estimators': 100}",0.8104107160445189,0.029037991371686007,0.733638439616764,0.8761298328108673,0.8216389244558258,0.7450375774419548,0.8808777693338822,154
55,100,8,8,2,5,sqrt,None,"{'class_weight': None, 'max_depth': 8, 'max_features': 'sqrt', 'min_samples_leaf': 5, 'min_samples_split': 2, 'n_estimators': 100}",0.810400866738895,0.024616742956052217,0.7304718861128451,0.8795794148380354,0.8216389244558258,0.7450375774419548,0.8795794148380354,155
58,100,8,8,10,5,sqrt,None,"{'class_weight': None, 'max_depth': 8, 'max_features': 'sqrt', 'min_samples_leaf': 5, 'min_samples_split': 10, 'n_estimators': 100}",0.810400866738895,0.024616742956052217,0.7304718861128451,0.8795794148380354,0.8216389244558258,0.7450375774419548,0.8808777693338822,156
67,100,8,8,2,5,log2,None,"{'class_weight': None, 'max_depth': 8, 'max_features': 'log2', 'min_samples_leaf': 5, 'min_samples_split': 2, 'n_estimators': 100}",0.810400866738895,0.024616742956052217,0.7304718861128451,0.8795794148380354,0.8216389244558258,0.7450375774419548,0.8808777693338822,157
70,100,8,8,10,5,log2,None,"{'class_weight': None, 'max_depth': 8, 'max_features': 'log2', 'min_samples_leaf': 5, 'min_samples_split': 10, 'n_estimators': 100}",0.810400866738895,0.024616742956052217,0.7304718861128451,0.8795794148380354,0.8216389244558258,0.7450375774419548,0.8808777693338822,158
28,100,6,6,10,1,sqrt,None,"{'class_weight': None, 'max_depth': 6, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'min_samples_split': 10, 'n_estimators': 100}",0.810400866738895,0.024256102346153358,0.7293162982396251,0.8768964329818563,0.8216389244558258,0.7450375774419548,0.8790777946655689,159
40,100,6,6,10,1,log2,None,"{'class_weight': None, 'max_depth': 6, 'max_features': 'log2', 'min_samples_leaf': 1, 'min_samples_split': 10, 'n_estimators': 100}",0.810400866738895,0.024256102346153358,0.7293162982396251,0.8768964329818563,0.8216389244558258,0.7450375774419548,0.8790777946655689,160
176,300,None,999,2,5,sqrt,balanced,"{'class_weight': 'balanced', 'max_depth': None, 'max_features': 'sqrt', 'min_samples_leaf': 5, 'min_samples_split': 2, 'n_estimators': 300}",0.8090219639515415,0.0290976060879748,0.7538599005875893,0.8833922295050822,0.8287107258938246,0.7730770342535049,0.8833922295050822,161
