trial,max_depth,max_depth_order,min_samples_split,min_samples_leaf,criterion,class_weight,tree_depth,leaf_count,params,cv_accuracy_mean,cv_accuracy_std,cv_f1_mean,cv_roc_auc_mean,running_best_accuracy,running_best_f1,running_best_roc_auc,rank
57,4,4,20,1,entropy,None,4,13,"{'class_weight': None, 'criterion': 'entropy', 'max_depth': 4, 'min_samples_leaf': 1, 'min_samples_split': 20}",0.8104107160445189,0.013782427258955978,0.7262779985703377,0.8480230201703556,0.8160149709445484,0.7423774299563745,0.8529839539596594,21
10,4,4,2,1,gini,None,4,15,"{'class_weight': None, 'criterion': 'gini', 'max_depth': 4, 'min_samples_leaf': 1, 'min_samples_split': 2}",0.8104107160445189,0.011421177678393162,0.7237005089863143,0.8480272948924986,0.8104107160445189,0.7237005089863143,0.8480272948924986,22
11,4,4,10,1,gini,None,4,14,"{'class_weight': None, 'criterion': 'gini', 'max_depth': 4, 'min_samples_leaf': 1, 'min_samples_split': 10}",0.8104107160445189,0.011421177678393162,0.7237005089863143,0.8465207192088069,0.8104107160445189,0.7237005089863143,0.8480272948924986,23
76,6,6,2,5,entropy,None,6,26,"{'class_weight': None, 'criterion': 'entropy', 'max_depth': 6, 'min_samples_leaf': 5, 'min_samples_split': 2}",0.8090219639515415,0.022957820827087153,0.7281624076598078,0.8427831079868697,0.8188811188811188,0.7423774299563745,0.8529839539596594,24
77,6,6,10,5,entropy,None,6,26,"{'class_weight': None, 'criterion': 'entropy', 'max_depth': 6, 'min_samples_leaf': 5, 'min_samples_split': 10}",0.8090219639515415,0.022957820827087153,0.7281624076598078,0.8427831079868697,0.8188811188811188,0.7423774299563745,0.8529839539596594,25
40,None,999,2,5,gini,None,16,73,"{'class_weight': None, 'criterion': 'gini', 'max_depth': None, 'min_samples_leaf': 5, 'min_samples_split': 2}",0.8090121146459175,0.00758757162131459,0.7413907392818839,0.8298156460107871,0.8160149709445484,0.7423774299563745,0.8529839539596594,26
41,None,999,10,5,gini,None,16,73,"{'class_weight': None, 'criterion': 'gini', 'max_depth': None, 'min_samples_leaf': 5, 'min_samples_split': 10}",0.8090121146459175,0.00758757162131459,0.7413907392818839,0.8298156460107871,0.8160149709445484,0.7423774299563745,0.8529839539596594,27
33,6,6,20,5,gini,None,6,24,"{'class_weight': None, 'criterion': 'gini', 'max_depth': 6, 'min_samples_leaf': 5, 'min_samples_split': 20}",0.8090022653402935,0.017280931609335002,0.733219042730811,0.845983845772247,0.8160149709445484,0.7370287369854319,0.8529839539596594,28
15,4,4,20,5,gini,None,4,13,"{'class_weight': None, 'criterion': 'gini', 'max_depth': 4, 'min_samples_leaf': 5, 'min_samples_split': 20}",0.8090022653402935,0.011829282581284583,0.723596884986444,0.8510027521822192,0.8117994681374963,0.7265335023360522,0.8529839539596594,29
60,4,4,20,5,entropy,None,4,13,"{'class_weight': None, 'criterion': 'entropy', 'max_depth': 4, 'min_samples_leaf': 5, 'min_samples_split': 20}",0.8090022653402935,0.011829282581284583,0.723596884986444,0.8476393506644289,0.8160149709445484,0.7423774299563745,0.8529839539596594,30
